#Time(s) Intensity                                                                                  
 64660.00000 28836.00000
 64680.00000 29135.00000
 64700.00000 28952.00000
 64720.00000 28423.00000
 64740.00000 27703.00000
 64760.00000 26970.00000
 64780.00000 26392.00000
 64800.00000 25965.00000
 64820.00000 25422.00000
 64840.00000 24968.00000
 64860.00000 24804.00000
 64880.00000 24934.00000
 64900.00000 25341.00000
 64920.00000 25712.00000
 64940.00000 26016.00000
 64960.00000 26192.00000
 64980.00000 26292.00000
 65000.00000 26569.00000
 65020.00000 27056.00000
 65040.00000 27471.00000
 65060.00000 27699.00000
 65080.00000 27955.00000
 65100.00000 27986.00000
 65120.00000 27946.00000
 65140.00000 27889.00000
 65160.00000 27763.00000
 65180.00000 27338.00000
 65200.00000 26788.00000
 65220.00000 26153.00000
 65240.00000 25482.00000
 65260.00000 25010.00000
 65280.00000 24784.00000
 65300.00000 24801.00000
 65320.00000 25104.00000
 65340.00000 25738.00000
 65360.00000 26461.00000
 65380.00000 27146.00000
 65400.00000 27641.00000
 65420.00000 27937.00000
 65440.00000 27954.00000
 65460.00000 27630.00000
 65480.00000 27099.00000
 65500.00000 26579.00000
 65520.00000 26159.00000
 65540.00000 25913.00000
 65560.00000 26049.00000
 65580.00000 26399.00000
 65600.00000 26959.00000
 65620.00000 27462.00000
 65640.00000 27738.00000
 65660.00000 27650.00000
 65680.00000 27239.00000
 65700.00000 26608.00000
 65720.00000 25872.00000
 65740.00000 25292.00000
 65760.00000 25101.00000
 65780.00000 25141.00000
 65800.00000 25427.00000
 65820.00000 25812.00000
 65840.00000 26319.00000
 65860.00000 26845.00000
 65880.00000 27342.00000
 65900.00000 27646.00000
 65920.00000 27594.00000
 65940.00000 27351.00000
 65960.00000 27142.00000
 65980.00000 27079.00000
 66000.00000 27092.00000
 66020.00000 26980.00000
 66040.00000 26768.00000
 66060.00000 26707.00000
 66080.00000 26855.00000
 66100.00000 27055.00000
 66120.00000 27284.00000
 66140.00000 27474.00000
 66160.00000 27499.00000
 66180.00000 27500.00000
 66200.00000 27421.00000
 66220.00000 27207.00000
 66240.00000 27006.00000
 66260.00000 26700.00000
 66280.00000 26218.00000
 66300.00000 25704.00000
 66320.00000 25242.00000
 66340.00000 24914.00000
 66360.00000 24675.00000
 66380.00000 24583.00000
 66400.00000 24675.00000
 66420.00000 24981.00000
 66440.00000 25448.00000
 66460.00000 26047.00000
 66480.00000 26671.00000
 66500.00000 27388.00000
 66520.00000 28028.00000
 66540.00000 28646.00000
 66560.00000 29120.00000
 66580.00000 29298.00000
 66600.00000 29139.00000
 66620.00000 28729.00000
 66640.00000 28126.00000
 66660.00000 27551.00000
 66680.00000 26932.00000
 66700.00000 26408.00000
 66720.00000 25968.00000
 66740.00000 25528.00000
 66760.00000 25138.00000
 66780.00000 24973.00000
 66800.00000 25133.00000
 66820.00000 25438.00000
 66840.00000 25744.00000
 66860.00000 26063.00000
 66880.00000 26382.00000
 66900.00000 26687.00000
 66920.00000 27010.00000
 66940.00000 27212.00000
 66960.00000 27383.00000
 66980.00000 27490.00000
 67000.00000 27604.00000
 67020.00000 27762.00000
 67040.00000 27927.00000
 67060.00000 28074.00000
 67080.00000 27991.00000
 67100.00000 27785.00000
 67120.00000 27477.00000
 67140.00000 27136.00000
 67160.00000 26702.00000
 67180.00000 26244.00000
 67200.00000 25815.00000
 67220.00000 25563.00000
 67240.00000 25445.00000
 67260.00000 25514.00000
 67280.00000 25770.00000
 67300.00000 26162.00000
 67320.00000 26616.00000
 67340.00000 27055.00000
 67360.00000 27451.00000
 67380.00000 27774.00000
 67400.00000 28006.00000
 67420.00000 28087.00000
 67440.00000 27975.00000
 67460.00000 27681.00000
 67480.00000 27234.00000
 67500.00000 26702.00000
 67520.00000 26097.00000
 67540.00000 25657.00000
 67560.00000 25579.00000
 67580.00000 25758.00000
 67600.00000 26098.00000
 67620.00000 26409.00000
 67640.00000 26628.00000
 67660.00000 26780.00000
 67680.00000 26841.00000
 67700.00000 26838.00000
 67720.00000 26782.00000
 67740.00000 26780.00000
 67760.00000 26864.00000
 67780.00000 26944.00000
 67800.00000 26960.00000
 67820.00000 26962.00000
 67840.00000 27093.00000
 67860.00000 27273.00000
 67880.00000 27427.00000
 67900.00000 27479.00000
 67920.00000 27577.00000
 67940.00000 27735.00000
 67960.00000 27860.00000
 67980.00000 27846.00000
 68000.00000 27694.00000
 68020.00000 27442.00000
 68040.00000 26994.00000
 68060.00000 26452.00000
 68080.00000 25982.00000
 68100.00000 25571.00000
 68120.00000 25415.00000
 68140.00000 25503.00000
 68160.00000 25612.00000
 68180.00000 25716.00000
 68200.00000 25832.00000
 68220.00000 25987.00000
 68240.00000 26192.00000
 68260.00000 26413.00000
 68280.00000 26600.00000
 68300.00000 26805.00000
 68320.00000 27137.00000
 68340.00000 27565.00000
 68360.00000 28018.00000
 68380.00000 28411.00000
 68400.00000 28703.00000
 68420.00000 28740.00000
 68440.00000 28604.00000
 68460.00000 28274.00000
 68480.00000 27780.00000
 68500.00000 27233.00000
 68520.00000 26657.00000
 68540.00000 26027.00000
 68560.00000 25439.00000
 68580.00000 25058.00000
 68600.00000 24823.00000
 68620.00000 24878.00000
 68640.00000 25037.00000
 68660.00000 25378.00000
 68680.00000 25897.00000
 68700.00000 26514.00000
 68720.00000 27111.00000
 68740.00000 27649.00000
 68760.00000 28042.00000
 68780.00000 28321.00000
 68800.00000 28466.00000
 68820.00000 28449.00000
 68840.00000 28224.00000
 68860.00000 27841.00000
 68880.00000 27372.00000
 68900.00000 26873.00000
 68920.00000 26388.00000
 68940.00000 25985.00000
 68960.00000 25699.00000
 68980.00000 25623.00000
 69000.00000 25641.00000
 69020.00000 25802.00000
 69040.00000 26131.00000
 69060.00000 26528.00000
 69080.00000 26863.00000
 69100.00000 27104.00000
 69120.00000 27326.00000
 69140.00000 27526.00000
 69160.00000 27660.00000
 69180.00000 27676.00000
 69200.00000 27621.00000
 69220.00000 27494.00000
 69240.00000 27365.00000
 69260.00000 27157.00000
 69280.00000 26944.00000
 69300.00000 26743.00000
 69320.00000 26575.00000
 69340.00000 26420.00000
 69360.00000 26320.00000
 69380.00000 26251.00000
 69400.00000 26243.00000
 69420.00000 26276.00000
 69440.00000 26360.00000
 69460.00000 26413.00000
 69480.00000 26411.00000
 69500.00000 26430.00000
 69520.00000 26617.00000
 69540.00000 26798.00000
 69560.00000 27006.00000
 69580.00000 27097.00000
 69600.00000 27175.00000
 69620.00000 27348.00000
 69640.00000 27504.00000
 69660.00000 27593.00000
 69680.00000 27622.00000
 69700.00000 27632.00000
 69720.00000 27706.00000
 69740.00000 27806.00000
 69760.00000 27911.00000
 69780.00000 27907.00000
 69800.00000 27661.00000
 69820.00000 27087.00000
 69840.00000 26462.00000
 69860.00000 25800.00000
 69880.00000 25457.00000
 69900.00000 25234.00000
 69920.00000 25130.00000
 69940.00000 25152.00000
 69960.00000 25413.00000
 69980.00000 25802.00000
 70000.00000 26215.00000
 70020.00000 26652.00000
 70040.00000 27128.00000
 70060.00000 27499.00000
 70080.00000 27846.00000
 70100.00000 27948.00000
 70120.00000 28214.00000
 70140.00000 28275.00000
 70160.00000 28201.00000
 70180.00000 27796.00000
