time(sec)	intensity(nT)
9172.0	52583.3	
9171.5	52573.7	
9171.0	52573.1	
9170.5	52579.9	
9170.0	52589.9	
9169.5	52567.8	
9169.0	52556.0	
9168.5	52557.5	
9168.0	52570.9	
9167.5	52565.7	
9167.0	52553.4	
9166.5	52538.6	
9166.0	52528.2	
9165.5	52514.3	
9165.0	52492.1	
9164.5	52455.3	
9164.0	52430.4	
9163.5	52423.4	
9163.0	52418.0	
9162.5	52407.9	
9162.0	52386.5	
9161.5	52372.1	
9161.0	52368.8	
9160.5	52359.2	
9160.0	52349.9	
9159.5	52345.4	
9159.0	52349.5	
9158.5	52373.9	
9158.0	52399.1	
9157.5	52405.0	
9157.0	52400.1	
9156.5	52408.1	
9156.0	52418.3	
9155.5	52413.8	
9155.0	52405.1	
9154.5	52403.2	
9154.0	52409.9	
9153.5	52425.0	
9153.0	52432.7	
9152.5	52427.3	
9152.0	52411.6	
9151.5	52413.0	
9151.0	52413.6	
9150.5	52406.8	
9150.0	52407.2	
9149.5	52411.1	
9149.0	52417.0	
9148.5	52418.2	
9148.0	52428.8	
9147.5	52433.3	
9147.0	52426.4	
9146.5	52435.7	
9146.0	52447.9	
9145.5	52452.8	
9145.0	52461.8	
9144.5	52480.9	
9144.0	52480.0	
9143.5	52485.8	
9143.0	52481.2	
9142.5	52464.1	
9142.0	52443.1	
9141.5	52420.1	
9141.0	52413.4	
9140.5	52417.3	
9140.0	52418.3	
9139.5	52415.3	
9139.0	52400.3	
9138.5	52379.3	
9138.0	52374.0	
9137.5	52370.7	
9137.0	52364.9	
9136.5	52355.4	
9136.0	52340.2	
9135.5	52328.8	
9135.0	52324.1	
9134.5	52340.8	
9134.0	52358.8	
9133.5	52360.3	
9133.0	52360.5	
9132.5	52356.7	
9132.0	52343.7	
9131.5	52345.2	
9131.0	52357.6	
9130.5	52367.6	
9130.0	52370.2	
9129.5	52368.5	
9129.0	52369.1	
9128.5	52371.8	
9128.0	52378.4	
9127.5	52379.9	
9127.0	52391.4	
9126.5	52424.9	
9126.0	52441.8	
9125.5	52450.5	
9125.0	52442.8	
9124.5	52433.5	
9124.0	52434.0	
9123.5	52427.7	
9123.0	52414.2	
9122.5	52402.4	
9122.0	52391.9	
9121.5	52373.0	
9121.0	52359.1	
9120.5	52355.9	
9120.0	52348.4	
9119.5	52332.6	
9119.0	52302.8	
9118.5	52277.8	
9118.0	52246.3	
9117.5	52194.7	
9117.0	52147.6	
9116.5	52152.6	
9116.0	52161.4	
9115.5	52161.7	
9115.0	52146.7	
9114.5	52131.6	
9114.0	52124.1	
9113.5	52119.7	
9113.0	52126.6	
9112.5	52128.9	
9112.0	52144.7	
9111.5	52161.2	
9111.0	52162.1	
9110.5	52156.1	
9110.0	52153.4	
9109.5	52165.2	
9109.0	52177.8	
9108.5	52218.4	
9108.0	52299.4	
9107.5	52315.5	
9107.0	52315.5	
9106.5	52317.0	
9106.0	52340.5	
9105.5	52350.7	
9105.0	52355.7	
9104.5	52374.7	
9104.0	52378.1	
9103.5	52382.1	
9103.0	52382.3	
9102.5	52368.0	
9102.0	52339.4	
9101.5	52318.7	
9101.0	52322.5	
9100.5	52346.7	
9100.0	52403.8	
9099.5	52455.3	
9099.0	52453.4	
9098.5	52445.0	
9098.0	52429.7	
9097.5	52419.9	
9097.0	52408.1	
9096.5	52402.3	
9096.0	52405.6	
9095.5	52404.4	
9095.0	52387.4	
9094.5	52376.2	
9094.0	52378.1	
9093.5	52387.7	
9093.0	52395.9	
9092.5	52387.4	
9092.0	52382.6	
9091.5	52381.2	
9091.0	52379.9	
9090.5	52378.6	
9090.0	52375.0	
9089.5	52365.7	
9089.0	52354.4	
9088.5	52351.6	
9088.0	52336.5	
9087.5	52279.8	
9087.0	52205.9	
9086.5	52197.5	
9086.0	52201.6	
9085.5	52214.6	
9085.0	52236.6	
9084.5	52264.3	
9084.0	52287.9	
9083.5	52315.4	
9083.0	52325.9	
9082.5	52310.2	
9082.0	52299.0	
9081.5	52296.0	
9081.0	52326.0	
9080.5	52343.7	
9080.0	52346.7	
9079.5	52342.6	
9079.0	52340.7	
9078.5	52346.7	
9078.0	52353.3	
9077.5	52357.9	
9077.0	52362.4	
9076.5	52372.8	
9076.0	52376.1	
9075.5	52377.2	
9075.0	52386.8	
9074.5	52394.1	
9074.0	52374.0	
9073.5	52368.0	
9073.0	52371.0	
9072.5	52379.5	
9072.0	52381.6	
9071.5	52384.7	
9071.0	52387.3	
9070.5	52391.3	
9070.0	52394.3	
9069.5	52387.8	
9069.0	52375.8	
9068.5	52367.8	
9068.0	52375.5	
9067.5	52398.5	
9067.0	52411.1	
9066.5	52419.2	
9066.0	52417.6	
9065.5	52417.4	
9065.0	52416.4	
9064.5	52396.3	
9064.0	52385.4	
9063.5	52381.9	
9063.0	52374.0	
9062.5	52390.0	
9062.0	52413.4	
9061.5	52435.0	
9061.0	52450.5	
9060.5	52432.2	
9060.0	52425.9	
9059.5	52415.6	
9059.0	52405.3	
9058.5	52399.5	
9058.0	52408.1	
9057.5	52417.8	
9057.0	52416.8	
9056.5	52409.2	
9056.0	52394.7	
9055.5	52380.6	
9055.0	52381.0	
9054.5	52386.9	
9054.0	52385.1	
9053.5	52378.8	
9053.0	52371.0	
9052.5	52359.5	
9052.0	52338.7	
9051.5	52320.1	
9051.0	52308.4	
9050.5	52294.5	
9050.0	52279.4	
9049.5	52270.9	
9049.0	52269.7	
9048.5	52281.7	
9048.0	52308.0	
9047.5	52325.3	
9047.0	52332.0	
9046.5	52336.8	
9046.0	52333.9	
9045.5	52332.3	
9045.0	52340.8	
9044.5	52343.9	
9044.0	52345.8	
9043.5	52343.1	
9043.0	52328.8	
9042.5	52328.1	
9042.0	52340.0	
9041.5	52341.9	
9041.0	52335.5	
9040.5	52326.4	
9040.0	52309.7	
9039.5	52317.0	
9039.0	52356.8	
9038.5	52374.6	
9038.0	52387.5	
9037.5	52396.6	
9037.0	52419.9	
9036.5	52402.5	
9036.0	52386.7	
9035.5	52379.3	
9035.0	52386.5	
9034.5	52399.4	
9034.0	52411.9	
9033.5	52424.8	
9033.0	52433.8	
9032.5	52438.3	
9032.0	52434.4	
9031.5	52435.8	
9031.0	52447.6	
9030.5	52467.5	
9030.0	52472.5	
9029.5	52479.5	
9029.0	52480.8	
9028.5	52486.5	
9028.0	52489.4	
9027.5	52482.5	
9027.0	52468.7	
9026.5	52463.2	
9026.0	52469.1	
9025.5	52479.1	
9025.0	52480.7	
9024.5	52464.3	
9024.0	52440.0	
9023.5	52428.6	
9023.0	52429.6	
9022.5	52432.5	
9022.0	52431.2	
9021.5	52425.0	
9021.0	52419.8	
9020.5	52418.4	
9020.0	52411.2	
9019.5	52402.8	
9019.0	52381.4	
9018.5	52354.8	
9018.0	52334.0	
9017.5	52329.9	
9017.0	52337.4	
9016.5	52341.8	
9016.0	52338.1	
9015.5	52331.9	
9015.0	52315.2	
9014.5	52297.5	
9014.0	52268.7	
9013.5	52251.8	
9013.0	52251.8	
9012.5	52250.2	
9012.0	52263.9	
9011.5	52273.1	
9011.0	52268.0	
9010.5	52254.9	
9010.0	52252.8	
9009.5	52263.3	
9009.0	52275.7	
9008.5	52297.9	
9008.0	52327.6	
9007.5	52357.4	
9007.0	52378.5	
9006.5	52384.9	
9006.0	52362.6	
9005.5	52354.6	
9005.0	52356.1	
9004.5	52372.2	
9004.0	52403.1	
9003.5	52422.0	
9003.0	52413.2	
9002.5	52391.7	
9002.0	52388.1	
9001.5	52396.0	
9001.0	52407.6	
9000.5	52415.3	
9000.0	52423.8	
8999.5	52427.3	
8999.0	52439.5	
8998.5	52468.1	
8998.0	52472.8	
8997.5	52471.7	
8997.0	52466.4	
8996.5	52463.7	
8996.0	52470.6	
8995.5	52477.3	
8995.0	52481.6	
8994.5	52483.9	
8994.0	52472.2	
8993.5	52464.3	
8993.0	52451.4	
8992.5	52453.0	
8992.0	52474.6	
8991.5	52481.6	
8991.0	52448.7	
8990.5	52422.4	
8990.0	52391.6	
8989.5	52375.6	
8989.0	52375.9	
8988.5	52373.5	
8988.0	52369.1	
8987.5	52358.5	
8987.0	52336.2	
8986.5	52296.4	
8986.0	52253.2	
8985.5	52206.8	
8985.0	52181.2	
8984.5	52142.3	
8984.0	52141.7	
8983.5	52139.2	
8983.0	52142.7	
8982.5	52146.4	
8982.0	52145.1	
8981.5	52157.7	
8981.0	52160.6	
8980.5	52157.1	
8980.0	52169.6	
8979.5	52190.3	
8979.0	52172.6	
8978.5	52153.7	
8978.0	52158.1	
8977.5	52169.9	
8977.0	52176.6	
8976.5	52183.0	
8976.0	52188.9	
8975.5	52191.6	
8975.0	52174.3	
8974.5	52170.5	
8974.0	52187.8	
8973.5	52211.7	
8973.0	52224.7	
8972.5	52235.2	
8972.0	52237.7	
8971.5	52236.4	
8971.0	52226.1	
8970.5	52199.0	
8970.0	52186.6	
8969.5	52189.7	
8969.0	52191.2	
8968.5	52181.0	
8968.0	52173.6	
8967.5	52162.8	
8967.0	52139.1	
8966.5	52131.1	
8966.0	52136.0	
8965.5	52150.7	
8965.0	52175.3	
8964.5	52196.3	
8964.0	52205.2	
8963.5	52198.4	
8963.0	52217.9	
8962.5	52214.1	
8962.0	52203.6	
8961.5	52201.5	
8961.0	52206.3	
8960.5	52221.6	
8960.0	52231.7	
8959.5	52243.4	
8959.0	52264.2	
8958.5	52303.4	
8958.0	52349.0	
8957.5	52384.3	
8957.0	52413.1	
8956.5	52428.6	
8956.0	52439.4	
8955.5	52455.2	
8955.0	52471.5	
8954.5	52484.8	
8954.0	52496.4	
8953.5	52497.4	
8953.0	52486.1	
8952.5	52477.7	
8952.0	52490.9	
8951.5	52534.8	
8951.0	52576.1	
8950.5	52592.5	
8950.0	52590.7	
8949.5	52584.8	
8949.0	52578.2	
8948.5	52568.1	
8948.0	52560.1	
8947.5	52564.6	
8947.0	52572.0	
8946.5	52563.1	
8946.0	52559.0	
8945.5	52559.9	
8945.0	52559.3	
8944.5	52553.8	
8944.0	52545.3	
8943.5	52528.3	
8943.0	52496.2	
8942.5	52453.7	
8942.0	52406.5	
8941.5	52373.6	
8941.0	52344.3	
8940.5	52307.4	
8940.0	52267.9	
8939.5	52265.7	
8939.0	52272.1	
8938.5	52272.1	
8938.0	52263.7	
8937.5	52260.9	
8937.0	52270.6	
8936.5	52278.0	
8936.0	52288.5	
8935.5	52289.2	
8935.0	52293.9	
8934.5	52301.6	
8934.0	52299.8	
8933.5	52312.8	
8933.0	52329.6	
8932.5	52344.1	
8932.0	52364.7	
8931.5	52375.4	
8931.0	52380.3	
8930.5	52380.5	
8930.0	52380.8	
8929.5	52392.5	
8929.0	52409.8	
8928.5	52415.2	
8928.0	52409.4	
8927.5	52405.3	
8927.0	52417.1	
8926.5	52439.7	
8926.0	52460.0	
8925.5	52474.9	
8925.0	52484.5	
8924.5	52500.6	
8924.0	52514.0	
8923.5	52528.0	
